ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas
110,grouped,AJ-HUB2KIT4G-DP-PHOD-B,,"Kit Ajax HUB 2 4G - Negro (Personalizable)",1,1,visible,"Incluye: Hub 2 4G, Teclado KeyPad Plus, Sirena interior HomeSiren, 2× MotionCam PhOD, 1× DoorProtect Plus, 1× Mando SpaceControl. Disponible en Negro.","<h2>Kit Completo de Seguridad Inteligente Ajax - Modelo Negro</h2>
\n<strong>El kit perfecto para iniciar tu sistema de seguridad inteligente</strong>. Este kit incluye todos los componentes esenciales para proteger tu hogar o negocio pequeño, con la posibilidad de personalizarlo según tus necesidades.
\n<h3>📦 Componentes Incluidos:</h3>
\n<ul>
\n 	<li><strong>1x Ajax HUB 2 4G Negro</strong> - Central de alarma con comunicación 4G (valor: 350€)</li>
\n 	<li><strong>2x Ajax MotionCam PhOD Negro</strong> - Detectores de movimiento con cámara de verificación fotográfica (valor: 376€)</li>
\n 	<li><strong>1x Ajax KeyPad Plus Negro</strong> - Teclado táctil de control con código PIN y lector NFC (valor: 140€)</li>
\n 	<li><strong>1x Ajax DoorProtect Plus Negro</strong> - Contacto magnético con sensor de vibración (valor: 70€)</li>
\n 	<li><strong>1x Ajax SpaceControl Negro</strong> - Mando a distancia con botón SOS (valor: 38€)</li>
\n 	<li><strong>1x Ajax HomeSiren Negro</strong> - Sirena interior 105 dB (valor: 74€)</li>
\n</ul>
\n<h3>⚙️ Personaliza tu Kit:</h3>
\nEste kit base puede ajustarse completamente a tus necesidades:
\n<h4>🔝 Mejora tu HUB:</h4>
\n<ul>
\n 	<li><strong>Ajax HUB 2 Plus Negro</strong>: Actualización disponible por <strong>+100€</strong>
\nOfrece doble capacidad (200 dispositivos vs 100), comunicación redundante y mayor potencia de procesamiento.</li>
\n</ul>
\n<h4>🔢 Ajusta la cantidad de cada componente:</h4>
\n<ul>
\n 	<li><strong>Teclados</strong>: Añade o elimina (±125€/unidad) o mejora a KeyPad Plus con NFC (+140€)</li>
\n 	<li><strong>Fotodetectores</strong>: Añade o quita MotionCam PhOD (±188€/unidad)</li>
\n 	<li><strong>Contactos magnéticos</strong>: Ajusta DoorProtect Plus (±70€/unidad)</li>
\n 	<li><strong>Mandos</strong>: Modifica SpaceControl (±38€/unidad)</li>
